word,logfreq,wlen
Novartis,-5.545999,8
Bank,-3.7654737999999996,4
impact,-3.9713538,6
Nash,-5.1446996,4
floated,-5.250506400000001,7
employ,-5.065905,6
pumps,-5.2691935999999995,5
robbing,-5.620217299999999,7
calorie,-5.6094694,7
combine,-5.03255,7
charisma,-5.5805926,8
WHO,-5.0097804,3
pitched,-4.826842,7
item,-4.9194083,4
swung,-5.289779,5
fumes,-5.5862164000000005,5
equipped,-4.9161696,8
rape,-4.6083713,4
Museum,-4.481186,6
Nina,-5.4931636,4
unforced,-5.6195379999999995,8
fulfill,-5.306078,7
emerged,-4.3036129999999995,7
rashly,-6.724730999999999,6
eurozone,-4.8649898,8
attempts,-4.409137,8
slavery,-5.3341317,7
engulfed,-5.418563400000001,8
beating,-4.4736953,7
bloggers,-5.1505027000000005,8
Abkhazia,-5.2424526,8
Camp,-4.864034999999999,4
Bain,-5.590429299999999,4
leagues,-5.2281556,7
mounting,-4.816708599999999,8
bumped,-5.534868,6
notified,-5.0544176,8
brush,-5.150119,5
rep,-5.4804900000000005,3
Nigerian,-5.0022297,8
harm,-4.588366000000001,4
Driver,-5.5719867,6
Harper,-4.9953456,6
minister,-3.7935333,8
Clay,-5.373399,4
Salt,-5.093594,4
strips,-5.4518723,6
Fairfax,-5.0658417,7
mandates,-5.4517183,8
globally,-5.002886,8
blackout,-5.627764,8
Cy,-5.486947499999999,2
Deco,-5.589795,4
valuable,-4.686787000000001,8
drum,-5.324501000000001,4
DJ,-5.211386,2
branches,-4.8682685,8
Marcel,-5.582251,6
risky,-4.7969894,5
displays,-4.954127,8
besides,-5.2083892999999994,7
jobs,-3.7843919,4
resident,-4.6295047,8
read,-4.0343776,4
prize,-4.507288,5
wet,-4.9622725999999995,3
motive,-5.112826999999999,6
gob,-7.0791273,3
umpire,-5.323355,6
cup,-4.8804383,3
work,-3.3003972000000004,4
Apart,-5.267077400000001,5
Commons,-4.601867700000001,7
Byrne,-5.313846,5
anomaly,-5.7867136,7
min,-5.3606176,3
disgrace,-5.4413834,8
respite,-5.551769999999999,7
Kan,-5.386171,3
overseen,-5.3972898,8
Dunford,-6.339528,7
swing,-4.7476519999999995,5
barrels,-4.6714683,7
ongoing,-4.438259599999999,7
cite,-5.3001785,4
Jarvis,-5.5477223,6
bound,-4.7458615,5
wisely,-5.565742,6
La,-4.460156,2
noises,-5.5399265,6
checked,-4.79986,7
bikes,-5.232869,5
SAS,-5.5527396,3
Leone,-5.385642,5
Kumar,-5.375329499999999,5
dollars,-3.8460164,7
written,-4.150282,7
subtlety,-5.991582,8
tactic,-5.1079907,6
striking,-4.633811,8
Barack,-3.8795940000000004,6
foe,-5.474128,3
farmers,-4.433603,7
chef,-4.874575599999999,4
colon,-5.463726,5
slated,-5.085577,6
invite,-5.109317,6
host,-4.158402,4
Overall,-4.878092,7
Galloway,-5.414168,8
Moines,-5.44652,6
Saad,-5.5738163,4
bearing,-4.9467072,7
chart,-4.873274299999999,5
easing,-4.839427,6
Astra,-5.864461,5
towering,-5.3643746,8
parental,-5.3248453,8
oust,-5.3525863,4
Venture,-5.484783999999999,7
surgery,-4.236024400000001,7
CNBC,-5.4266176,4
Equator,-6.724730999999999,7
grunge,-6.3938723,6
received,-3.78312,8
Thinking,-5.8423557,8
aimed,-4.2516627,5
ointment,-6.411736,8
paying,-4.2091303,6
whether,-3.5281184000000003,7
patches,-5.44652,7
brewing,-5.4818068,7
Scot,-5.182477,4
greatest,-4.43591,8
sacks,-5.327726,5
defended,-4.659194,8
due,-3.692368,3
toast,-5.47575,5
neurotic,-6.100713,8
suicides,-5.4129004,8
Bowen,-5.534682,5
Wendy,-5.24579,5
tragedy,-4.7536830000000005,7
eternal,-5.558995200000001,7
GAAP,-5.161243,4
losers,-5.2640715,6
tasks,-5.054048000000001,5
Mark,-4.074856,4
stack,-5.4834585,5
Carter,-4.5772996,6
festive,-5.316879699999999,7
Rights,-4.5437174,6
dome,-5.6186333,4
Classics,-5.9277370000000005,8
asleep,-5.1620317,6
Chanel,-5.4791775000000005,6
visitor,-5.052266,7
debt,-3.895179,4
Come,-5.064957,4
unite,-5.290309400000001,5
Pacers,-5.531528,6
Owens,-5.13815,5
Sri,-4.559454,3
mate,-4.825093700000001,4
Nomura,-5.4948587,6
particle,-5.6197643,8
suburbs,-5.0434660000000004,7
Luckily,-5.538046,7
savours,-7.477843300000001,7
easily,-4.316207,6
worn,-4.952613400000001,4
five,-3.4287164,4
lists,-4.768579,5
plethora,-5.801946599999999,8
humor,-5.067998,5
PAD,-5.578116400000001,3
AT,-4.68431,2
blankets,-5.3991940000000005,8
warm,-4.595932,4
revision,-5.403576999999999,8
Zone,-5.1411489999999995,4
Sun,-4.5652084,3
meat,-4.596618,4
passions,-5.6121316,8
grinding,-5.56315,8
airlines,-4.5492845,8
She,-3.4661062000000005,3
penchant,-5.589372,8
maritime,-5.248575,8
Byers,-5.7957892,5
Brighton,-5.1511949999999995,8
Staples,-5.365508599999999,7
notebook,-5.5318974999999995,8
yearly,-5.35987,6
Kelley,-5.4913063,6
ally,-4.6729765,4
glossy,-5.5515766,6
Sheila,-5.44652,6
Lloyds,-4.7495712999999995,6
secrecy,-5.1658373,7
Skinner,-5.548106,7
past,-3.4970559999999997,4
backlog,-5.308947,7
Mbeki,-5.069845,5
ladies,-5.1671133000000005,6
Monty,-5.4621477,5
prised,-6.727624400000001,6
lobbying,-4.855144,8
tales,-5.1917599999999995,5
trimmer,-6.6756945000000005,7
hedge,-4.579916000000001,5
GE,-5.036848,2
monster,-5.207950599999999,7
Rock,-4.453557,4
animals,-4.343564,7
Mohammad,-4.949021299999999,8
roads,-4.3932285,5
ailments,-5.5202165,8
resolve,-4.6090555,7
inch,-5.1577897,4
feral,-5.900532,5
adjourn,-6.3371587,7
wicker,-6.4407396,6
U,-5.499985,1
coins,-5.328768,5
Barry,-4.652133999999999,5
lineup,-4.790833999999999,6
sodium,-5.514669400000001,6
upbeat,-5.080444,6
notched,-5.537671,7
Penn,-4.877969,4
optimism,-4.8288164,8
pose,-4.8024735,4
purity,-5.658839700000001,6
ink,-5.2895675,3
scale,-4.3879375,5
Haiti,-4.4551506,5
tariffs,-5.290521599999999,7
forever,-4.879078400000001,7
Still,-4.2678145999999995,5
weekends,-5.083133999999999,8
realism,-5.645901,7
Dawn,-5.2249503,4
racism,-5.032432599999999,6
contrast,-4.4787235,8
seven,-3.746296,5
Smith,-4.013136,5
tore,-5.2315702,4
costs,-3.7685256000000003,5
pianist,-5.381958999999999,7
Tessa,-5.8546267,5
Piecing,-7.633300299999999,7
Istanbul,-5.180331,8
Jonathan,-4.5736594,8
planes,-4.5916440000000005,6
Perry,-4.766732,5
owners,-4.213241,6
Algerian,-5.4664226,8
aka,-5.5446634,3
wiping,-5.595326,6
going,-3.4069742999999995,5
Paper,-5.378697,5
sickened,-5.475588,8
Karzai,-4.485919,6
hardware,-4.940881,8
Grace,-5.165041400000001,5
Admiral,-5.371221,7
licenses,-5.068251999999999,8
stamps,-5.279106,6
Rhyl,-6.1069264,4
skull,-5.1345043,5
Private,-4.815285,7
slice,-5.130889,5
rated,-4.9284415,5
Denmark,-4.85882,7
teenage,-4.63456,7
Barclays,-4.5987277,8
scrap,-4.9779,5
Raul,-5.183886,4
Cape,-4.8826730000000005,4
lovely,-4.955940200000001,6
brim,-6.347924,4
overtime,-4.750764,8
amounts,-4.542237,7
Chief,-4.198107,5
replace,-4.3662696,7
retired,-4.3636870000000005,7
Philip,-4.726701,6
Teachers,-5.157868,8
sacred,-5.302027,6
Kathy,-5.393103599999999,5
proceeds,-4.8257484,8
bread,-4.936914,5
Hugo,-4.973837400000001,4
directs,-5.537671,7
spree,-5.192521599999999,5
domestic,-4.0960712,8
Disney,-4.603872,6
libert,-8.92661,6
poppies,-5.868057,7
fetching,-6.030604,8
Theodore,-5.507615,8
floor,-4.216298,5
Shearer,-5.4257480000000005,7
Worth,-5.2524467,5
Studio,-5.391628,6
searches,-4.9636703,8
column,-4.751714,6
indices,-5.533566,7
Bureau,-4.640007,6
Earth,-4.4305887,5
valleys,-5.6028843,7
dignity,-5.143033999999999,7
thrilled,-5.145231,8
hygienic,-6.50356,8
Lankan,-5.111841,6
Amid,-5.1691145999999994,4
Girls,-5.036257,5
issuers,-5.5148473,7
deepen,-5.5232887,6
luncheon,-5.716245,8
Gone,-5.3784366,4
ignited,-5.4324639999999995,7
Balls,-5.1071550000000006,5
Roeder,-5.5727987,6
Blood,-5.196862,5
office,-3.6312134,6
dentist,-5.429239,7
fuels,-4.9527593,5
contains,-4.682396,8
Pam,-5.6123543,3
made,-3.1700367999999997,4
articles,-4.886005,8
dribble,-6.1461973,7
rarity,-5.7026033,6
pirates,-4.665841599999999,7
marks,-4.6035010000000005,5
He,-2.9268146,2
American,-3.3675184000000002,8
drawing,-4.597628599999999,7
equally,-4.6916504,7
Perez,-5.095893,5
beastly,-6.721856,7
Julian,-5.155295400000001,6
madness,-5.4681764,7
strained,-4.9649220000000005,8
premiums,-4.9306135,8
protocol,-5.2083015,8
fable,-6.128304,5
slows,-5.582875,5
Let,-4.498925700000001,3
field,-3.9126934999999996,5
Steelers,-5.1455345,8
Calgary,-5.2606897,7
helped,-3.8725492999999993,6
employer,-4.8537054,8
Knicks,-4.9379964,6
pink,-4.8716935999999995,4
firewood,-6.0912213,8
Fisher,-4.8712487,6
seniors,-5.015207,7
Bright,-5.540115,6
activism,-5.492149400000001,8
wounds,-4.79407,6
February,-3.8676884,8
blunt,-5.222131,5
So,-3.6873062000000005,2
chanting,-5.3382572999999995,8
job,-3.6608646,3
Pizza,-5.5730023,5
Malawi,-5.38989,6
nuisance,-5.6026664,8
drone,-5.1584935,5
forgiven,-5.4349723,8
Rugby,-5.089968,5
Tomorrow,-5.4145913,8
Musical,-5.4582267,7
Brendan,-5.281905999999999,7
Fox,-4.358568,3
quantity,-5.2492504,8
whatever,-4.454856400000001,8
maneuver,-5.542383,8
nanotech,-7.059989,8
explores,-5.5271144,8
Rene,-5.60332,4
Jews,-4.723641000000001,4
credence,-5.929582,8
Social,-4.5420284,6
slips,-5.5070906,5
called,-3.4491544000000003,6
clothing,-4.62437,8
Imam,-5.580385700000001,4
Hawks,-5.260492,5
moving,-4.106753299999999,6
bubbles,-5.3721166,7
Duchy,-6.189376,5
gripping,-5.5444727,8
cooked,-5.2010736,6
Pamela,-5.442737,6
engage,-4.7304544,6
Slovenia,-5.3690543,8
slowdown,-4.7284718,8
pipe,-5.0877666,4
Kercher,-5.185383,7
Senior,-4.700397,6
radios,-5.588528599999999,6
recent,-3.5507432999999997,6
target,-4.110131,6
interest,-3.7283127,8
Egypt,-4.495782,5
pitcher,-4.8510356,7
royalty,-5.360368299999999,7
castle,-5.323469599999999,6
Logan,-5.37688,5
broader,-4.601021,7
honestly,-5.3067384,8
Teesside,-5.531528,8
Opera,-4.986825,5
Addis,-5.879437,5
orderly,-5.4862804,7
Walt,-5.102587000000001,4
Abraham,-5.243213,7
chin,-5.586426,4
Kashmir,-5.145155,7
Masters,-4.716621,7
V,-5.1555285,1
Ventures,-5.4781949999999995,8
quo,-5.272744,3
rash,-5.3859067000000005,4
Flower,-5.481971700000001,6
tenure,-4.9263262999999995,6
Wii,-5.065336,3
Majesty,-5.615258,7
Top,-4.5963389999999995,3
sluggish,-5.2193294,8
Chaudhry,-5.516094,8
NAACP,-5.5895834,5
Ark,-5.3145185,3
acre,-5.5511894,4
Barrett,-5.300939,7
stocked,-5.584125,7
Holloway,-5.495709,8
attended,-4.3958445,8
lawyer,-4.142869999999999,6
Adan,-6.707762700000001,4
Owners,-5.608364599999999,6
bred,-5.5463815,4
payments,-4.2380223,8
Keane,-5.1365094000000004,5
Peer,-5.622491,4
Bulldogs,-5.3291154,8
crises,-5.053187,6
collect,-4.732887,7
Akubio,-8.92661,6
Lula,-5.318801000000001,4
PhD,-5.526383,3
admit,-4.7197742,5
tacky,-6.013449,5
oryx,-7.173456699999999,4
Speedway,-5.541625499999999,8
Either,-5.165916999999999,6
order,-3.832328,5
viewing,-4.941688,7
variable,-5.3560276,8
stick,-4.6190467,5
corrupt,-4.9283953,7
Grounds,-6.211803,7
lizards,-5.978453599999999,7
WFP,-5.6154823,3
Unlike,-4.739251,6
fraud,-4.2736444,5
autonomy,-5.190915599999999,8
Katz,-5.5223827000000005,4
INLA,-6.489912,4
CD,-5.0492725,2
visual,-4.9084406,6
brake,-5.317783,5
Steele,-5.1826425,6
void,-5.373399,4
excited,-4.7648934999999994,7
Upper,-5.096707,5
pence,-5.359496599999999,5
Sumatra,-5.615707,7
ago,-3.4826156999999998,3
closing,-4.3283544,7
FM,-5.558995200000001,2
tortoise,-6.0472503,8
Roddick,-4.9589467,7
Abingdon,-6.244902,8
minute,-4.2532473,6
downs,-5.415157,5
quoting,-5.303993,7
probes,-5.5414367,6
Owen,-4.847042,4
colours,-5.235572299999999,7
seem,-4.05947,4
Bellamy,-5.514669400000001,7
money,-3.4110519999999998,5
Animal,-5.1629796,6
exists,-4.9523209999999995,6
measures,-4.0498652,8
started,-3.7702226999999997,7
internet,-4.30585,8
aircraft,-4.2368955999999995,8
Nicklaus,-5.6035379999999995,8
timber,-5.345062,6
Bridge,-4.656943,6
applaud,-5.5404919999999995,7
French,-3.8500926,6
Scottish,-4.229853,8
Snow,-5.162901000000001,4
Dave,-4.6930156,4
Trinity,-5.324616000000001,7
tougher,-4.7152080000000005,7
halted,-4.9403120000000005,6
update,-4.671724,6
Welcome,-5.3156414000000005,7
stormy,-5.612577,6
unnamed,-4.985036,7
outgoing,-5.140322,8
Vince,-5.191,5
course,-3.7821872,6
Hester,-5.5223827000000005,6
offences,-4.7984222999999995,8
gains,-4.3638377,5
fathered,-5.624546499999999,8
aspects,-4.785959,7
Noel,-5.4023395,4
disguise,-5.4640427,8
trailing,-5.0441275,8
Timeplan,-8.92661,8
studying,-4.759705,8
goodbye,-5.322098,7
akin,-5.3767510000000005,4
lonely,-5.2773523,6
Latinos,-5.392432,7
Purdue,-5.3906913,6
homage,-5.4621477,6
climate,-3.9840982000000005,7
Carl,-4.8657074,4
idiots,-5.562157,6
Also,-4.2799163,4
bits,-5.096775,4
garden,-4.5321620000000005,6
Idaho,-5.0393996,5
value,-3.9173824999999995,5
latitude,-5.8400927000000005,8
Waxman,-5.340633,6
selfish,-5.492656,7
buck,-5.365004,4
pretax,-5.603756400000001,6
Maguire,-5.603102,7
Le,-4.79336,2
tramping,-6.8284807,8
names,-4.221961,5
Bentley,-5.304212000000001,7
Having,-4.6279554,6
splendid,-5.6143627,8
retiree,-5.561167,7
safer,-4.899335400000001,5
rampant,-5.232776,7
arduous,-5.7518897,7
name,-3.7890856,4
Will,-4.400467,4
Mae,-4.8298807,3
paved,-5.423868,5
winking,-6.3677483,7
unless,-4.3362284,6
UN,-4.2840050000000005,2
Abe,-5.585378599999999,3
Annual,-4.9315414,6
flames,-4.91251,6
woodland,-5.4948587,8
Nestle,-5.584125,6
boss,-4.468212599999999,4
iPhone,-4.479707,6
Really,-5.3809123,6
holding,-4.122457499999999,7
roasted,-5.629382,7
coup,-4.6484165,4
Busby,-6.076064,5
online,-3.8393717000000005,6
Miller,-4.4270724999999995,6
sheikhs,-6.381921299999999,7
Bernanke,-4.644899,8
pining,-6.3858685,6
steroids,-5.03437,8
audit,-4.994593,5
Apple,-4.270796,5
tanker,-5.1496580000000005,6
baby,-4.2362957,4
goes,-4.095000700000001,4
prolific,-5.3651304,8
wired,-5.5723925,5
firms,-4.1512437,5
prizes,-5.1371055,6
months,-3.3872862,6
Lionel,-5.4155809999999995,6
closely,-4.383538,7
Kris,-5.3192544,4
FEMA,-5.426762999999999,4
embargo,-5.2581215,7
plasma,-5.4897922999999995,6
counted,-4.8769029999999995,7
thesis,-5.6044116,6
execute,-5.345664,7
Wis,-5.3793473,3
whisky,-5.5917015,6
Streets,-5.541815,7
ward,-5.093458999999999,4
Harry,-4.43213,5
screens,-4.8826313,7
Marines,-4.8439574,7
saga,-5.239046,4
retail,-4.28193,6
euro,-4.3934169999999995,4
Rosa,-5.502744,4
looks,-4.1245885,5
Buffy,-6.2091556,5
saves,-4.7823873,5
nearly,-3.6712498999999994,6
tributes,-5.5425724999999995,8
deluge,-5.7479167,6
flown,-4.875187,5
anything,-3.9318910000000002,8
pooling,-6.1601186,7
beam,-5.461046,4
Angel,-5.0563936,5
Whoever,-5.5887394,7
wells,-5.211386,5
IPL,-5.4696164000000005,3
cue,-5.5653424000000005,3
broke,-4.130935,5
Miles,-5.1610065,5
Mission,-5.1054883,7
armoured,-5.505521,8
bonce,-7.588917299999999,5
current,-3.7142336000000005,7
Molly,-5.608364599999999,5
punished,-5.0773150000000005,8
Core,-5.5805926,4
dinners,-5.429239,7
Feminist,-6.489912,8
East,-3.8669032999999997,4
gap,-4.493118,3
display,-4.382762400000001,7
cotton,-5.2051516,6
Air,-4.1965566,3
slang,-5.883575,5
began,-3.6859297999999994,5
troops,-3.7890522000000004,6
sunny,-5.1832223,5
honorary,-5.3408713,8
Kitchen,-5.5615625,7
deficit,-4.244932,7
Ellis,-4.980283,5
Key,-5.0436463,3
Fossett,-5.591277,7
swelled,-5.596183,7
flats,-5.129935,5
Guardian,-4.6106940000000005,8
IVF,-5.46531,3
violated,-4.8332367,8
Arroyo,-5.4596343,6
Founded,-5.2062864,7
proteins,-5.4062004,8
Turkey,-4.362646,6
produces,-4.841611,8
slogans,-5.307289,7
Linux,-5.537671,5
slept,-5.1751747,5
drew,-4.4799695,4
Duncan,-4.837441,6
behaving,-5.542952,8
Archer,-5.4457607,6
Prophet,-5.4380913,7
suits,-4.8536277000000005,5
Brussels,-4.724562000000001,8
examines,-5.5153813,8
Oracle,-5.1317715999999995,6
Nathan,-5.1080604,6
pleasure,-4.949021299999999,8
Utley,-5.613915400000001,5
Short,-5.344341,5
faces,-4.1605916,5
reeling,-5.2816978,7
debris,-4.833904,6
returns,-4.4419135999999995,7
male,-4.4118505,4
Miranda,-5.5272974999999995,7
adjacent,-5.1620317,8
bleak,-5.1370306,5
plea,-4.664032,4
safe,-4.1486792999999995,4
buses,-4.815285,5
Futures,-5.2809706,7
detail,-4.624233,6
info,-5.476889599999999,4
coaching,-4.835464,8
remains,-3.9052486000000006,7
relative,-4.6006527,8
Byrd,-5.3112783,4
basin,-5.5687523,5
produce,-4.203197,7
Iron,-5.1768866,4
opposite,-4.591771,8
Herman,-5.553128,6
physical,-4.340458,8
Vaughn,-5.594684,6
Video,-5.0430455,5
bed,-4.4739379999999995,3
cooks,-5.5677465999999995,5
Yongbyon,-5.597042,8
option,-4.218208,6
sacked,-4.8938093,6
tomb,-5.5137815,4
young,-3.6802075,5
candid,-5.591065,6
fence,-4.8720984000000005,5
failures,-4.8881426,8
Stacey,-5.559981,6
drag,-4.959144599999999,4
destined,-5.220954,8
salad,-5.2059370000000005,5
Claire,-5.2447386,6
attend,-4.3475995,6
Brent,-5.009669000000001,5
Deep,-5.3794775,4
Drake,-5.4729953,5
rave,-5.734733599999999,4
thorough,-5.1821459999999995,8
audition,-5.531528,8
trapped,-4.6987366999999995,7
crowned,-5.4442463,7
Bacon,-5.490296400000001,5
Cummings,-5.603102,8
takes,-4.04357,5
Carling,-5.3457847,7
heroic,-5.382877,6
Maradona,-5.497414599999999,8
Prince,-4.350782,6
Cameroon,-5.465469000000001,8
notch,-5.622491,5
Zayed,-5.6105766,5
butter,-5.0449705,6
head,-3.6206602999999995,4
nominee,-4.537170400000001,7
erotic,-5.619312,6
atom,-5.807494,4
swam,-5.5136037,4
revoked,-5.434085400000001,7
quick,-4.3852105,5
Touch,-5.4022026,5
hurdles,-5.1849666,7
those,-3.2290822999999995,5
Allied,-5.415864,6
trashed,-6.0552015,7
superb,-5.0276559999999995,6
sharks,-5.3320246,6
Marcos,-5.5202165,6
dividing,-5.3859067000000005,8
Jean,-4.889446700000001,4
ballet,-5.2015057,6
Armenian,-5.4994698,8
cartoon,-5.191845,7
Players,-5.1790156,7
Durham,-4.941735700000001,6
evenings,-5.453105,8
Falkirk,-5.445003,7
Neil,-4.7335043,4
sections,-4.9895760000000005,8
doubting,-5.978971,8
brace,-5.4733186,5
reserved,-5.0452724,8
Rhys,-5.4975853,4
cardiac,-5.221406,7
solitary,-5.428072,8
outs,-5.180578,4
Mushers,-7.5118065000000005,7
empower,-5.613023,7
kudos,-5.966213,5
laying,-5.043586299999999,6
seminar,-5.5300517,7
waiting,-4.2356124,7
wakes,-5.8773828,5
Insp,-5.196349,4
Without,-4.659690400000001,7
updates,-4.9861927,7
Mount,-4.8499184,5
Please,-4.8746977,6
Milan,-4.589484,5
guardian,-5.45003,8
Visa,-5.3913603,4
Metro,-4.873843,5
fixes,-5.563747,5
baldies,-8.155308,7
Province,-4.9866667,8
pale,-5.2594037,4
profit,-4.0742235,6
treat,-4.5136975999999995,5
validity,-5.6055064,8
setbacks,-5.366898,8
Given,-4.6473293,5
Madison,-4.948249,7
desires,-5.5887394,7
members,-3.5601332,7
spittle,-7.0791273,7
MIAMI,-5.165439,5
curbs,-5.479833,5
tumour,-5.5695586,6
happily,-5.1731453,7
Hathaway,-5.3975615999999995,8
contacts,-4.9586496,8
programs,-4.056897,8
Railway,-5.5191374,7
tear,-4.900717299999999,4
militant,-4.5056652999999995,8
tourists,-4.533274,8
Anaheim,-5.187889,7
platinum,-5.5098953,8
advances,-4.984983000000001,8
tribal,-4.565508,6
academy,-4.9628214999999996,7
marathon,-4.996099,8
Yale,-5.036907,4
farce,-5.613915400000001,5
seeks,-4.7403260000000005,5
vantage,-5.9309709999999995,7
so,-3.0644412,2
aura,-5.5627527,4
tents,-5.136584,5
EDF,-5.375846,3
bee,-5.615258,3
Smart,-5.1446996,5
crops,-4.848804,5
levelled,-5.5399265,8
Postal,-5.365887,6
whoever,-5.225498,7
Caracas,-5.456513,7
vowing,-5.4339375,6
beta,-5.5687523,4
ratings,-4.527998999999999,7
plan,-3.586764,4
salvage,-5.3430214000000005,7
Fawlty,-6.2180447999999995,6
Sherman,-5.481971700000001,7
honors,-5.189232,6
Shell,-4.923947,5
Annie,-5.3696904000000005,5
odds,-4.7083497,4
Letter,-5.591065,6
speaker,-4.7993803,7
trustees,-5.362617500000001,8
scarf,-5.5008454,5
Portland,-4.8619733,8
unsure,-5.2583184,6
turbine,-5.410375599999999,7
employee,-4.4827356,8
save,-4.0519739999999995,4
barely,-4.5732117,6
Ky,-5.4098167,2
Bono,-5.5326385,4
ratified,-5.3140697,8
cute,-5.3284199999999995,4
armed,-4.271212,5
Olson,-5.3767510000000005,5
Con,-5.5010176,3
nave,-6.6630009999999995,4
stable,-4.5649486,6
Mrs,-4.286542400000001,3
gown,-5.411496,4
guest,-4.716621,5
dash,-5.3936415,4
Sixties,-5.766882,7
THIS,-5.5144915999999995,4
mad,-5.015601,3
allow,-3.9091733,5
Services,-4.26844,8
Parents,-5.0420264999999995,7
ONS,-5.593829599999999,3
shutdown,-5.377658,8
housing,-4.0010905,7
Terry,-4.5941563,5
Alison,-5.3972898,6
lessons,-4.6916237,7
sheet,-4.736931299999999,5
youngest,-4.840254,8
cruised,-5.521659400000001,7
Thomas,-4.1660547,6
polo,-5.5725956,4
Chinese,-3.8011004999999995,7
scam,-5.170319999999999,4
medieval,-5.2316628,8
Lockheed,-5.264371,8
enraged,-5.577088400000001,7
clan,-5.306628,4
AG,-5.1801662,2
highways,-5.214849,8
Brad,-4.778420400000001,4
Stephens,-5.595112,8
Radio,-4.4931517,5
ballroom,-5.5427623,8
battery,-4.8054156,7
Cumbrian,-6.0311875,8
tic,-6.680877000000001,3
Too,-4.9697623,3
compare,-4.9474773,7
laugh,-4.92628,5
recruit,-5.028352,7
Koreans,-5.114947,7
Asset,-5.110647,5
Dudley,-5.485947599999999,6
Judith,-5.4266176,6
mark,-4.2739405999999995,4
lush,-5.405924,4
mornings,-5.6536669999999996,8
autistic,-5.545426,8
owing,-5.4066160000000005,5
roll,-4.6791124,4
well,-3.313358,4
stresses,-5.421997,8
Ochoa,-5.4274898,5
bag,-4.551679,3
jolt,-5.6208982,4
Vera,-5.4453059999999995,4
concedes,-5.590429299999999,8
debit,-5.3104997,5
Jane,-4.8203235,4
wish,-4.500265,4
ahead,-3.7778992999999996,5
Boyle,-5.049029,5
Director,-4.543071299999999,8
phone,-3.928835,5
wheat,-5.0141945,5
grapes,-5.4662633000000005,6
sporadic,-5.49622,8
sensed,-5.725969,6
Birds,-5.674482,5
Part,-4.873437,4
hustling,-6.265443,8
Bates,-5.515203,5
Aviv,-5.3344835999999995,4
identity,-4.4665704,8
enabled,-5.0877666,7
salaries,-4.824731,8
budgets,-4.8305793,7
Ono,-5.9190793,3
GM,-4.239605,2
Dempsey,-5.5736127,7
Motors,-4.601412,6
Homeland,-4.8918133,8
lucky,-4.684494,5
retain,-4.726093,6
rides,-5.1757445,5
courted,-5.6057253,7
staples,-5.5805926,7
Prescott,-5.497414599999999,8
pulses,-6.0067725,6
punching,-5.4781949999999995,8
cult,-5.1329513,4
Note,-5.271726999999999,4
rugby,-4.6735144,5
edge,-4.3931746,4
coronary,-5.5754495,8
admire,-5.3384943,6
Click,-4.7492356,5
Cyborgs,-8.621175,7
Indiana,-4.5681142999999995,7
Buckeyes,-5.5979023,8
visited,-4.392718,7
greeted,-4.906552,7
wound,-4.78566,5
Funding,-5.590006400000001,7
Hory,-8.489651,4
inning,-4.5783895999999995,6
process,-3.8130822,7
surveys,-4.924129499999999,7
outfit,-5.064831,6
Joy,-5.478032,3
Court,-3.7847459999999997,5
terrible,-4.733562999999999,8
Mirror,-5.310833000000001,6
libel,-5.445608999999999,5
govern,-5.216725299999999,6
generate,-4.623478400000001,8
Caldwell,-5.3945847,8
pleased,-4.5993757,7
pricing,-4.7651153,7
trucks,-4.6280016999999996,6
heading,-4.4489627,7
earnings,-4.136080000000001,8
Ibrahim,-5.163851,7
forks,-6.305276999999999,5
worries,-4.643342,7
patient,-4.319121400000001,7
obsessed,-5.262676,8
sexual,-4.2688837,6
Cool,-5.576678299999999,4
flashes,-5.531158400000001,7
feeling,-4.309715,7
